Timestamp,Violation Type,Duration (s)
2025-06-20 17:37:22,"Left, Center",3.99
2025-06-20 17:37:22,"Left, Center",0.21
2025-06-20 17:37:22,"Left, Center",0.09
2025-06-20 17:37:23,"Center, Down",0.1
2025-06-20 17:37:26,"Left, Center",2.34
2025-06-20 17:37:27,"Right, Center",0.08
2025-06-20 17:37:31,"Left, Center",2.24
2025-06-20 17:37:31,"Left, Center",0.19
2025-06-20 17:37:31,"Left, Center",0.08
2025-06-20 17:37:32,"Left, Center",0.17
2025-06-20 17:37:32,"Left, Center",0.37
2025-06-20 17:37:33,"Left, Center",0.31
2025-06-20 17:37:33,"Left, Center",0.37
2025-06-20 17:37:33,"Left, Center",0.1
2025-06-20 17:37:36,"Left, Center",2.23
2025-06-20 17:37:37,"Left, Center",0.08
2025-06-20 17:37:38,"Left, Center",0.26
2025-06-20 17:37:38,"Left, Center",0.1
2025-06-20 17:37:39,"Left, Center",0.3
2025-06-20 17:37:39,"Left, Center",0.1
2025-06-20 17:37:42,"Left, Center",2.2
2025-06-20 17:37:42,"Left, Center",0.18
2025-06-20 17:37:43,"Left, Down",0.88
2025-06-20 17:37:44,"Left, Center",0.21
2025-06-20 17:38:08,"Center, Down",23.85
2025-06-20 17:38:20,"Left, Center",7.77
2025-06-20 17:38:21,"Left, Up",0.08
2025-06-20 17:38:21,"Left, Up",0.17
2025-06-20 17:38:21,"Left, Center",0.1
2025-06-20 17:38:22,"Left, Center",0.09
2025-06-20 17:38:25,"Right, Center",2.42
2025-06-20 17:38:27,"Center, Down",0.19
2025-06-20 17:38:27,"Center, Down",0.29
2025-06-20 17:38:28,"Center, Down",0.28
2025-06-20 17:38:30,"Center, Down",2.18
2025-06-20 17:38:32,"Left, Center",1.9
2025-06-20 17:38:35,"Left, Center",3.01
2025-06-20 17:38:36,"Right, Center",0.1
2025-06-20 17:38:37,"Center, Down",0.1
